issue_id,timestamp,category,description,latitude,longitude,municipality,district,state,age_group,gender,origin,responsible_entity_id,responsible_entity_name,responsible_entity_level,hour,day_of_week,day_of_month,week_of_year,month,quarter,is_weekend,is_business_hours,is_morning,is_afternoon,date,week
ISS_20250613033645_4723,2024-02-05 20:19:00,Wirtschaft,"Die Gewerbeanmeldung für meinen kleinen Handwerksbetrieb dauert jetzt schon drei Monate. Ohne die Genehmigung kann ich nicht richtig arbeiten und verliere Kunden. Bitte beschleunigen Sie das Verfahren, ich brauche endlich eine Antwort vom Gewerbeamt.",51.55627774222177,7.909069655757472,Werl,Stadt,Nordrhein-Westfalen,25-34,male,citizen,LAND_09_MW,Bayern - Ministerium für Wirtschaft,Land,20,0,5,6,2024-02,1,False,False,False,False,2024-02-05,2024-02-05/2024-02-11
ISS_20250613033645_7585,2024-12-29 09:26:00,Migration,"""Die Bearbeitung meines Antrags auf Familienzusammenführung dauert schon über sechs Monate ohne jede Rückmeldung. Ich brauche endlich eine Auskunft über den Stand des Verfahrens, da meine Familie weiterhin getrennt ist.""",53.95003041159129,13.938897205204576,Rankwitz,Gemeinde,Mecklenburg-Vorpommern,18-24,male,citizen,LAND_16_SM,Thüringen - Ministerium für Soziales,Land,9,6,29,52,2024-12,4,True,True,True,False,2024-12-29,2024-12-23/2024-12-29
ISS_20250613033708_1610,2024-04-21 11:37:00,Wirtschaft,"Die Baustelle an der Hauptgeschäftsstraße dauert schon drei Monate und viele kleine Läden verlieren Kunden, weil niemand mehr dort parken kann. Wann wird endlich eine Lösung für die Geschäftsinhaber gefunden, die unter den Umsatzeinbußen leiden?",54.36198064945463,10.317594353730378,Passade,Gemeinde,Schleswig-Holstein,45-54,female,citizen,LAND_14_MW,Sachsen - Ministerium für Wirtschaft,Land,11,6,21,16,2024-04,2,True,True,True,False,2024-04-21,2024-04-15/2024-04-21
ISS_20250613033645_2139,2023-09-11 20:59:00,Migration,"Die Bearbeitung meines Antrags auf Familienzusammenführung dauert bereits acht Monate ohne jede Rückmeldung. Meine Kinder warten in der Heimat und ich brauche endlich eine Antwort, wann sie zu mir nach Deutschland kommen können.",53.2319936343641,9.797589686631568,Welle,Gemeinde,Niedersachsen,35-44,female,citizen,LAND_11_SM,Berlin - Ministerium für Soziales,Land,20,0,11,37,2023-09,3,False,False,False,False,2023-09-11,2023-09-11/2023-09-17
ISS_20250613033645_2701,2024-04-12 20:14:00,Gesundheit,Die Wartezeit beim Hausarzt in Ibbenbüren ist unmöglich geworden - drei Wochen für einen normalen Termin! Als junger Berufstätiger kann ich nicht ewig auf wichtige Untersuchungen warten. Wir brauchen dringend mehr Ärzte in der Stadt.,52.2782708504037,7.707338210622132,Ibbenbüren,Stadt,Nordrhein-Westfalen,18-24,male,citizen,LAND_10_SM,Saarland - Ministerium für Soziales,Land,20,4,12,15,2024-04,2,False,False,False,False,2024-04-12,2024-04-08/2024-04-14
ISS_20250613033646_6220,2023-11-12 07:51:00,Verkehr,"Die Bushaltestelle an der Rosenbacher Straße ist völlig überwuchert und bei Regen steht dort das Wasser. Meine Enkelin muss jeden Morgen im Matsch stehen, weil der Unterstand kaputt ist und niemand die Hecke schneidet.",50.792946911365206,7.573647374601116,Windeck,Gemeinde,Nordrhein-Westfalen,55-64,female,citizen,LAND_04_VM,Bremen - Ministerium für Verkehr,Land,7,6,12,45,2023-11,4,True,False,True,False,2023-11-12,2023-11-06/2023-11-12
ISS_20250613033645_5266,2025-02-08 10:35:00,Migration,"Die Beratungsstelle für Migranten in der Innenstadt hat seit Monaten verkürzte Öffnungszeiten. Viele ältere Neubürger aus meiner Nachbarschaft finden keine Hilfe bei Behördengängen und Übersetzungen, das ist nicht fair.",51.67262808415283,13.193839044270804,Herzberg (Elster),Stadt,Brandenburg,65+,diverse,citizen,LAND_02_SM,Hamburg - Ministerium für Soziales,Land,10,5,8,6,2025-02,1,True,True,True,False,2025-02-08,2025-02-03/2025-02-09
ISS_20250613033709_3234,2024-09-18 08:05:00,Bildung,"An der Grundschule in Werder fällt seit Monaten regelmäßig der Sportunterricht aus, weil die Turnhalle wegen Wasserschäden gesperrt ist. Mein Sohn und seine Mitschüler verpassen dadurch wichtige Bewegung und können die Lehrplanziele nicht erreichen.",53.738607476412376,13.349442236932427,Werder,Gemeinde,Mecklenburg-Vorpommern,25-34,male,citizen,LAND_12_BM,Brandenburg - Ministerium für Bildung,Land,8,2,18,38,2024-09,3,False,True,True,False,2024-09-18,2024-09-16/2024-09-22
ISS_20250613033645_3226,2024-01-26 04:27:00,Digitalisierung,"Das Online-Portal der Stadt ist ständig überlastet und funktioniert nicht richtig. Ich wollte einen Termin für den Personalausweis buchen, aber nach einer Stunde Versuchen habe ich aufgegeben - das kann doch nicht sein im Jahr 2024!",50.13793099172263,10.535420434086124,Hofheim i.UFr.,Stadt,Bayern,45-54,male,citizen,BUND_BUNDESMINISTERIUM_FÜR_DIGITALES_UND_VERKEHR,Bundesministerium für Digitales und Verkehr,Bund,4,4,26,4,2024-01,1,False,False,False,False,2024-01-26,2024-01-22/2024-01-28
ISS_20250613033644_8560,2023-01-21 10:42:00,Verkehr,"Die Bushaltestelle am Bahnhof hat kein Wartehäuschen und bei Regen wird man komplett nass. Außerdem kommt der Bus oft 10-15 Minuten zu spät, was besonders ärgerlich ist, wenn man zur Arbeit muss.",52.00722971327189,10.120535610623453,Bockenem,Stadt,Niedersachsen,18-24,male,citizen,LAND_06_VM,Hessen - Ministerium für Verkehr,Land,10,5,21,3,2023-01,1,True,True,True,False,2023-01-21,2023-01-16/2023-01-22
